"ид_события","ид_канала_данных","дата","время","тревожное","значение_датчика"
4524579955,171368,"2026-08-01","08:56:34",false,"26"
4524588043,2985,"2026-08-01","09:04:59",false,"31"
4524621330,2907,"2026-08-01","09:39:22",false,"33"
4524667973,2943,"2026-08-01","10:27:54",false,"28"
4524736474,2961,"2026-08-01","11:30:41",false,"32"
4524747598,9357,"2026-08-01","11:41:55",false,"33"
4524885035,171368,"2026-08-01","14:02:34",false,"28"
4525031161,2887,"2026-08-01","16:32:56",false,"31"
4525176608,2869,"2026-08-01","19:00:03",false,"36"
4525356718,2943,"2026-08-01","22:00:07",false,"30"
4525444328,171368,"2026-08-01","23:30:10",false,"26"
4524060620,266908,"2026-08-01","00:01:50",false,"22"
4524079919,277903,"2026-08-01","00:21:13",false,"26"
4524241740,266908,"2026-08-01","03:07:34",false,"20"
4524251679,266864,"2026-08-01","03:17:55",false,"31"
4524281236,266732,"2026-08-01","03:47:55",false,"21"
4524302782,266679,"2026-08-01","04:10:14",false,"31"
4524319078,266947,"2026-08-01","04:26:48",false,"28"
4524334545,277935,"2026-08-01","04:42:10",false,"20"
4524426678,266919,"2026-08-01","06:18:13",false,"29"
4524504154,266789,"2026-08-01","07:38:53",false,"26"
4524529115,267934,"2026-08-01","08:04:13",false,"01.08.2026 08:04:13"
3441313402,267934,"2026-08-01","08:04:13",false,Снято с охраны
4524530914,266864,"2026-08-01","08:06:17",false,"30"
4524532776,266923,"2026-08-01","08:08:13",false,"30"
4524533207,266864,"2026-08-01","08:08:39",false,"28"
4524533209,277936,"2026-08-01","08:08:39",false,"24"
4524536844,277903,"2026-08-01","08:12:22",false,"27"
4524537002,266864,"2026-08-01","08:12:32",false,"27"
4524537927,266923,"2026-08-01","08:13:25",false,"28"
4524539679,277916,"2026-08-01","08:15:23",false,"26"
4524540040,266908,"2026-08-01","08:15:43",false,"22"
4524541076,266679,"2026-08-01","08:17:00",false,"29"
4524543745,266861,"2026-08-01","08:19:50",false,"32"
4524544278,277936,"2026-08-01","08:20:22",false,"23"
4524545924,266923,"2026-08-01","08:22:11",false,"27"
4524546290,266864,"2026-08-01","08:22:35",false,"25"
4524547121,266947,"2026-08-01","08:23:23",false,"29"
4524550750,277915,"2026-08-01","08:27:10",false,"26"
4524554341,266732,"2026-08-01","08:30:51",false,"24"
4524567212,267934,"2026-08-01","08:43:36",false,"01.08.2026 08:43:36"
3441333071,267934,"2026-08-01","08:43:36",false,На охране
4524575187,266861,"2026-08-01","08:51:57",false,"31"
4524579300,266864,"2026-08-01","08:56:04",false,"27"
4524584035,277936,"2026-08-01","09:00:56",false,"24"
4524591945,266923,"2026-08-01","09:09:02",false,"28"
4524593897,277915,"2026-08-01","09:11:00",false,"29"
4524600729,266864,"2026-08-01","09:18:00",false,"28"
4524601121,277935,"2026-08-01","09:18:27",false,"23"
4524602142,266908,"2026-08-01","09:19:23",false,"23"
4524633566,266923,"2026-08-01","09:52:12",false,"30"
4524645319,277916,"2026-08-01","10:04:19",false,"29"
4524719438,266908,"2026-08-01","11:13:24",false,"25"
4524734421,266864,"2026-08-01","11:28:40",false,"30"
4524797374,266923,"2026-08-01","12:31:58",false,"31"
4524822899,277936,"2026-08-01","12:58:17",false,"26"
4524859771,266606,"2026-08-01","13:36:38",false,"27"
4524877028,266676,"2026-08-01","13:54:20",false,"26"
4524908789,266908,"2026-08-01","14:27:28",false,"26"
4525014284,266679,"2026-08-01","16:15:45",false,"31"
4525095415,266624,"2026-08-01","17:38:30",false,"26"
3441536206,266604,"2026-08-01","18:56:51",false,Неопределен
3441536208,266605,"2026-08-01","18:56:51",false,Неопределен
3441536210,266606,"2026-08-01","18:56:51",false,Неопределен
3441536215,266607,"2026-08-01","18:56:51",false,Неопределен
3441536219,266608,"2026-08-01","18:56:51",false,Неопределен
3441536220,266609,"2026-08-01","18:56:51",false,Неопределен
3441536221,266610,"2026-08-01","18:56:51",false,Неопределен
3441536222,266611,"2026-08-01","18:56:51",false,Неопределен
3441536235,266620,"2026-08-01","18:56:51",false,Неопределен
3441536236,266621,"2026-08-01","18:56:51",false,Неопределен
3441536238,266622,"2026-08-01","18:56:51",false,Неопределен
3441536239,266623,"2026-08-01","18:56:51",false,Неопределен
3441536240,266624,"2026-08-01","18:56:51",false,Неопределен
3441536242,266625,"2026-08-01","18:56:51",false,Неопределен
3441536243,266626,"2026-08-01","18:56:51",false,Неопределен
3441536264,266701,"2026-08-01","18:56:51",false,Неопределен
3441536265,266702,"2026-08-01","18:56:51",false,Неопределен
3441536286,266703,"2026-08-01","18:56:51",false,Неопределен
3441536287,266704,"2026-08-01","18:56:51",false,Неопределен
3441536288,266705,"2026-08-01","18:56:51",false,Неопределен
3441536300,266716,"2026-08-01","18:56:51",false,Неопределен
3441536301,266717,"2026-08-01","18:56:51",false,Неопределен
3441536302,266718,"2026-08-01","18:56:51",false,Неопределен
3441536303,266719,"2026-08-01","18:56:51",false,Неопределен
3441536304,266720,"2026-08-01","18:56:51",false,Неопределен
3441536305,266721,"2026-08-01","18:56:51",false,Неопределен
3441536315,266730,"2026-08-01","18:56:51",false,Неопределен
3441536316,266731,"2026-08-01","18:56:51",false,Неопределен
3441536317,266732,"2026-08-01","18:56:51",false,Неопределен
3441536318,266733,"2026-08-01","18:56:51",false,Неопределен
3441536328,266742,"2026-08-01","18:56:51",false,Неопределен
3441536329,266743,"2026-08-01","18:56:51",false,Неопределен
3441536342,266802,"2026-08-01","18:56:51",false,Неопределен
3441536343,266804,"2026-08-01","18:56:51",false,Неопределен
3441536344,266805,"2026-08-01","18:56:51",false,Неопределен
3441536345,266806,"2026-08-01","18:56:51",false,Неопределен
3441536346,266807,"2026-08-01","18:56:51",false,Неопределен
3441536347,266808,"2026-08-01","18:56:51",false,Неопределен
3441536350,266809,"2026-08-01","18:56:51",false,Неопределен
3441536351,266810,"2026-08-01","18:56:51",false,Неопределен
3441536352,272690,"2026-08-01","18:56:51",false,Неопределен
3441536361,266834,"2026-08-01","18:56:51",false,Неопределен
3441536362,266835,"2026-08-01","18:56:51",false,Неопределен
3441536363,266836,"2026-08-01","18:56:51",false,Неопределен
3441536364,266837,"2026-08-01","18:56:51",false,Неопределен
3441536365,266839,"2026-08-01","18:56:51",false,Неопределен
3441536375,266860,"2026-08-01","18:56:51",false,Неопределен
3441536377,266861,"2026-08-01","18:56:51",false,Неопределен
3441536378,266862,"2026-08-01","18:56:51",false,Неопределен
3441536379,266863,"2026-08-01","18:56:51",false,Неопределен
3441536381,266864,"2026-08-01","18:56:51",false,Неопределен
3441536382,266865,"2026-08-01","18:56:51",false,Неопределен
3441536383,266866,"2026-08-01","18:56:51",false,Неопределен
3441536384,266867,"2026-08-01","18:56:51",false,Неопределен
3441536393,266946,"2026-08-01","18:56:51",false,Неопределен
3441536394,266947,"2026-08-01","18:56:51",false,Неопределен
3441536395,266948,"2026-08-01","18:56:51",false,Неопределен
3441536405,266821,"2026-08-01","18:56:51",false,Неопределен
3441536414,266849,"2026-08-01","18:56:51",false,Неопределен
3441536423,266878,"2026-08-01","18:56:51",false,Неопределен
3441536433,277874,"2026-08-01","18:56:51",false,Неопределен
3441536434,279899,"2026-08-01","18:56:51",false,Неопределен
3441536436,279900,"2026-08-01","18:56:51",false,Неопределен
3441536463,277877,"2026-08-01","18:56:51",false,Неопределен
3441536468,277878,"2026-08-01","18:56:51",false,Неопределен
3441536472,277879,"2026-08-01","18:56:51",false,Неопределен
3441536477,277880,"2026-08-01","18:56:51",false,Неопределен
3441536487,277881,"2026-08-01","18:56:51",false,Неопределен
3441536495,277882,"2026-08-01","18:56:51",false,Неопределен
3441536500,277883,"2026-08-01","18:56:51",false,Неопределен
3441536507,277884,"2026-08-01","18:56:51",false,Неопределен
3441536514,277886,"2026-08-01","18:56:51",false,Неопределен
3441536520,277915,"2026-08-01","18:56:51",false,Неопределен
3441536521,277916,"2026-08-01","18:56:51",false,Неопределен
3441536522,277917,"2026-08-01","18:56:51",false,Неопределен
3441536524,277918,"2026-08-01","18:56:51",false,Неопределен
3441536525,284182,"2026-08-01","18:56:51",false,Неопределен
3441536526,277919,"2026-08-01","18:56:51",false,Неопределен
3441536528,277921,"2026-08-01","18:56:51",false,Неопределен
3441536536,277922,"2026-08-01","18:56:51",false,Неопределен
3441536564,277926,"2026-08-01","18:56:51",false,Неопределен
3441536569,277927,"2026-08-01","18:56:51",false,Неопределен
3441536574,277928,"2026-08-01","18:56:51",false,Неопределен
3441536580,277929,"2026-08-01","18:56:51",false,Неопределен
3441536586,277930,"2026-08-01","18:56:51",false,Неопределен
3441536597,277931,"2026-08-01","18:56:51",false,Неопределен
3441536612,277971,"2026-08-01","18:56:51",false,Неопределен
3441536613,277972,"2026-08-01","18:56:51",false,Неопределен
3441536614,277973,"2026-08-01","18:56:51",false,Неопределен
3441536619,277977,"2026-08-01","18:56:51",false,Неопределен
3441536621,277978,"2026-08-01","18:56:51",false,Неопределен
3441536625,277979,"2026-08-01","18:56:51",false,Неопределен
3441536646,277983,"2026-08-01","18:56:51",false,Неопределен
3441536653,277984,"2026-08-01","18:56:51",false,Неопределен
3441536771,277988,"2026-08-01","18:56:51",false,Неопределен
3441536777,277989,"2026-08-01","18:56:51",false,Неопределен
3441537076,266604,"2026-08-01","18:57:01",false,Норма
3441537077,266605,"2026-08-01","18:57:01",false,Норма
3441537078,266606,"2026-08-01","18:57:01",false,Норма
3441537079,266607,"2026-08-01","18:57:01",false,Норма
3441537081,266608,"2026-08-01","18:57:01",false,Норма
3441537082,266609,"2026-08-01","18:57:01",false,Норма
3441537083,266610,"2026-08-01","18:57:01",false,Норма
3441537084,266611,"2026-08-01","18:57:01",false,Норма
4525174161,266703,"2026-08-01","18:57:02",false,"27"
4525174141,266624,"2026-08-01","18:57:02",false,"25"
4525174138,266621,"2026-08-01","18:57:02",false,"25"
3441537095,266620,"2026-08-01","18:57:02",false,Норма
3441537096,266621,"2026-08-01","18:57:02",false,Норма
3441537097,266622,"2026-08-01","18:57:02",false,Норма
3441537098,266623,"2026-08-01","18:57:02",false,Норма
3441537099,266624,"2026-08-01","18:57:02",false,Норма
3441537100,266625,"2026-08-01","18:57:02",false,Норма
3441537101,266626,"2026-08-01","18:57:02",false,Норма
3441537116,266701,"2026-08-01","18:57:02",false,Норма
3441537117,266702,"2026-08-01","18:57:02",false,Норма
3441537118,266703,"2026-08-01","18:57:02",false,Норма
3441537119,266704,"2026-08-01","18:57:02",false,Норма
3441537120,266705,"2026-08-01","18:57:02",false,Норма
4525174175,266718,"2026-08-01","18:57:03",false,"28"
3441537132,266716,"2026-08-01","18:57:03",false,Норма
3441537133,266717,"2026-08-01","18:57:03",false,Норма
3441537134,266718,"2026-08-01","18:57:03",false,Норма
3441537135,266719,"2026-08-01","18:57:03",false,Норма
3441537137,266720,"2026-08-01","18:57:03",false,Норма
3441537138,266721,"2026-08-01","18:57:03",false,Норма
3441537147,266730,"2026-08-01","18:57:03",false,Норма
3441537148,266731,"2026-08-01","18:57:03",false,Норма
3441537150,266732,"2026-08-01","18:57:03",false,Норма
3441537151,266733,"2026-08-01","18:57:03",false,Норма
4525174197,266743,"2026-08-01","18:57:04",false,"23"
3441537160,266742,"2026-08-01","18:57:04",false,Норма
3441537161,266743,"2026-08-01","18:57:04",false,Норма
4525174274,266804,"2026-08-01","18:57:05",false,"26"
4525174277,266807,"2026-08-01","18:57:05",false,"26"
3441537185,266802,"2026-08-01","18:57:05",false,Норма
3441537186,266804,"2026-08-01","18:57:05",false,Норма
3441537187,266805,"2026-08-01","18:57:05",false,Норма
3441537188,266806,"2026-08-01","18:57:05",false,Норма
3441537189,266807,"2026-08-01","18:57:05",false,Норма
3441537191,266808,"2026-08-01","18:57:05",false,Норма
3441537192,266809,"2026-08-01","18:57:05",false,Норма
3441537193,266810,"2026-08-01","18:57:05",false,Норма
3441537195,272690,"2026-08-01","18:57:05",false,Норма
4525174293,266836,"2026-08-01","18:57:06",false,"17"
3441537205,266834,"2026-08-01","18:57:06",false,Норма
3441537207,266835,"2026-08-01","18:57:06",false,Норма
3441537208,266836,"2026-08-01","18:57:06",false,Норма
3441537210,266837,"2026-08-01","18:57:06",false,Норма
3441537211,266839,"2026-08-01","18:57:06",false,Норма
4525174304,266864,"2026-08-01","18:57:07",false,"31"
3441537223,266860,"2026-08-01","18:57:07",false,Норма
3441537224,266861,"2026-08-01","18:57:07",false,Норма
3441537225,266862,"2026-08-01","18:57:07",false,Норма
3441537226,266863,"2026-08-01","18:57:07",false,Норма
3441537227,266864,"2026-08-01","18:57:07",false,Норма
3441537228,266865,"2026-08-01","18:57:07",false,Норма
3441537229,266866,"2026-08-01","18:57:07",false,Норма
3441537230,266867,"2026-08-01","18:57:07",false,Норма
4525174319,266947,"2026-08-01","18:57:08",false,"30"
3441537241,266946,"2026-08-01","18:57:08",false,Норма
3441537242,266947,"2026-08-01","18:57:08",false,Норма
3441537244,266948,"2026-08-01","18:57:08",false,Норма
3441537257,266821,"2026-08-01","18:57:09",false,Норма
3441537266,266849,"2026-08-01","18:57:10",false,Норма
3441537277,266878,"2026-08-01","18:57:10",false,Норма
3441537288,277874,"2026-08-01","18:57:12",false,Норма
3441537289,279899,"2026-08-01","18:57:12",false,Норма
3441537290,279900,"2026-08-01","18:57:12",false,Норма
4525174359,277877,"2026-08-01","18:57:13",false,"23"
3441537295,277877,"2026-08-01","18:57:13",false,Норма
3441537296,277878,"2026-08-01","18:57:13",false,Норма
3441537297,277879,"2026-08-01","18:57:13",false,Норма
3441537298,277880,"2026-08-01","18:57:13",false,Норма
3441537300,277881,"2026-08-01","18:57:13",false,Норма
3441537301,277882,"2026-08-01","18:57:13",false,Норма
3441537302,277883,"2026-08-01","18:57:13",false,Норма
3441537303,277884,"2026-08-01","18:57:13",false,Норма
3441537305,277886,"2026-08-01","18:57:13",false,Норма
4525174372,277915,"2026-08-01","18:57:14",false,"32"
3441537310,277915,"2026-08-01","18:57:14",false,Норма
3441537312,277916,"2026-08-01","18:57:14",false,Норма
3441537314,277917,"2026-08-01","18:57:14",false,Норма
3441537315,277918,"2026-08-01","18:57:14",false,Норма
3441537316,284182,"2026-08-01","18:57:14",false,Норма
3441537317,277919,"2026-08-01","18:57:14",false,Норма
3441537319,277921,"2026-08-01","18:57:14",false,Норма
3441537320,277922,"2026-08-01","18:57:14",false,Норма
3441537325,277926,"2026-08-01","18:57:15",false,Норма
3441537326,277927,"2026-08-01","18:57:15",false,Норма
3441537328,277928,"2026-08-01","18:57:15",false,Норма
3441537329,277929,"2026-08-01","18:57:15",false,Норма
3441537330,277930,"2026-08-01","18:57:15",false,Норма
3441537331,277931,"2026-08-01","18:57:15",false,Норма
3441537336,277971,"2026-08-01","18:57:17",false,Норма
3441537338,277972,"2026-08-01","18:57:17",false,Норма
3441537339,277973,"2026-08-01","18:57:17",false,Норма
3441537346,277977,"2026-08-01","18:57:18",false,Норма
3441537347,277978,"2026-08-01","18:57:18",false,Норма
3441537348,277979,"2026-08-01","18:57:18",false,Норма
3441537352,277983,"2026-08-01","18:57:19",false,Норма
3441537353,277984,"2026-08-01","18:57:19",false,Норма
3441537358,277988,"2026-08-01","18:57:21",false,Норма
3441537359,277989,"2026-08-01","18:57:21",false,Норма
4525326922,266908,"2026-08-01","21:30:11",false,"25"
4524503604,9329,"2026-08-01","07:38:14",false,"01.01.1970 03:00:00"
3441300819,9329,"2026-08-01","07:38:14",false,Снято с охраны
3441300921,3086,"2026-08-01","07:38:31",false,Не замкнут
3441301022,3082,"2026-08-01","07:38:45",false,Обнаружено движение
3441301059,3082,"2026-08-01","07:38:50",false,Движения нет
3441301070,3082,"2026-08-01","07:38:52",false,Обнаружено движение
3441301090,3082,"2026-08-01","07:38:57",false,Движения нет
3441301162,3082,"2026-08-01","07:39:07",false,Обнаружено движение
3441301227,3082,"2026-08-01","07:39:15",false,Движения нет
3441301234,3082,"2026-08-01","07:39:17",false,Обнаружено движение
3441301271,3082,"2026-08-01","07:39:24",false,Движения нет
3441301295,3082,"2026-08-01","07:39:28",false,Обнаружено движение
3441301358,3082,"2026-08-01","07:39:36",false,Движения нет
3441301410,3077,"2026-08-01","07:39:43",false,Обнаружено движение
3441301422,3077,"2026-08-01","07:39:46",false,Движения нет
3441301457,3077,"2026-08-01","07:39:53",false,Обнаружено движение
3441301467,3077,"2026-08-01","07:39:55",false,Движения нет
3441301743,3077,"2026-08-01","07:40:35",false,Обнаружено движение
3441301756,3077,"2026-08-01","07:40:37",false,Движения нет
3441301804,3077,"2026-08-01","07:40:43",false,Обнаружено движение
3441301829,3077,"2026-08-01","07:40:46",false,Движения нет
3441301851,3073,"2026-08-01","07:40:52",false,Обнаружено движение
3441301882,3073,"2026-08-01","07:40:56",false,Движения нет
3441302837,3073,"2026-08-01","07:43:01",false,Обнаружено движение
3441302864,3073,"2026-08-01","07:43:05",false,Движения нет
3441302883,3077,"2026-08-01","07:43:08",false,Обнаружено движение
3441302906,3077,"2026-08-01","07:43:11",false,Движения нет
3441302916,3077,"2026-08-01","07:43:13",false,Обнаружено движение
3441302932,3077,"2026-08-01","07:43:15",false,Движения нет
3441303490,3082,"2026-08-01","07:44:24",false,Обнаружено движение
3441303592,3082,"2026-08-01","07:44:38",false,Движения нет
3441303604,3082,"2026-08-01","07:44:39",false,Обнаружено движение
3441303639,3082,"2026-08-01","07:44:46",false,Движения нет
3441303966,3082,"2026-08-01","07:44:55",false,Обнаружено движение
3441304092,3082,"2026-08-01","07:45:08",false,Движения нет
3441304115,3082,"2026-08-01","07:45:11",false,Обнаружено движение
3441304207,3082,"2026-08-01","07:45:25",false,Движения нет
3441304227,3077,"2026-08-01","07:45:27",false,Обнаружено движение
3441304245,3077,"2026-08-01","07:45:29",false,Движения нет
3441304363,3077,"2026-08-01","07:45:46",false,Обнаружено движение
3441304379,3077,"2026-08-01","07:45:48",false,Движения нет
3441304435,3077,"2026-08-01","07:45:55",false,Обнаружено движение
3441304444,3077,"2026-08-01","07:45:57",false,Движения нет
3441304449,3077,"2026-08-01","07:45:59",false,Обнаружено движение
3441304463,3077,"2026-08-01","07:46:01",false,Движения нет
3441304487,3077,"2026-08-01","07:46:05",false,Обнаружено движение
3441304508,3077,"2026-08-01","07:46:08",false,Движения нет
3441304610,3077,"2026-08-01","07:46:20",false,Обнаружено движение
3441304628,3077,"2026-08-01","07:46:24",false,Движения нет
3441304655,3077,"2026-08-01","07:46:27",false,Обнаружено движение
3441304691,3077,"2026-08-01","07:46:30",false,Движения нет
3441304697,3077,"2026-08-01","07:46:31",false,Обнаружено движение
3441304734,3077,"2026-08-01","07:46:35",false,Движения нет
3441304744,3077,"2026-08-01","07:46:36",false,Обнаружено движение
3441304756,3077,"2026-08-01","07:46:38",false,Движения нет
3441304906,3077,"2026-08-01","07:46:51",false,Обнаружено движение
3441304943,3077,"2026-08-01","07:46:54",false,Движения нет
3441305001,3077,"2026-08-01","07:46:59",false,Обнаружено движение
3441305020,3077,"2026-08-01","07:47:01",false,Движения нет
3441305032,3077,"2026-08-01","07:47:02",false,Обнаружено движение
3441305055,3077,"2026-08-01","07:47:06",false,Движения нет
3441305067,3077,"2026-08-01","07:47:07",false,Обнаружено движение
3441305104,3077,"2026-08-01","07:47:10",false,Движения нет
3441305121,3077,"2026-08-01","07:47:12",false,Обнаружено движение
3441305143,3077,"2026-08-01","07:47:15",false,Движения нет
3441305355,3077,"2026-08-01","07:47:41",false,Обнаружено движение
3441305367,3077,"2026-08-01","07:47:45",false,Движения нет
3441305568,3077,"2026-08-01","07:48:05",false,Обнаружено движение
3441305580,3077,"2026-08-01","07:48:07",false,Движения нет
3441305592,3077,"2026-08-01","07:48:09",false,Обнаружено движение
3441305612,3077,"2026-08-01","07:48:12",false,Движения нет
3441305625,3077,"2026-08-01","07:48:13",false,Обнаружено движение
3441305653,3077,"2026-08-01","07:48:17",false,Движения нет
3441305683,3077,"2026-08-01","07:48:20",false,Обнаружено движение
3441305695,3077,"2026-08-01","07:48:22",false,Движения нет
3441305706,3077,"2026-08-01","07:48:23",false,Обнаружено движение
3441305735,3077,"2026-08-01","07:48:27",false,Движения нет
3441305938,3077,"2026-08-01","07:48:56",false,Обнаружено движение
3441305960,3077,"2026-08-01","07:48:59",false,Движения нет
3441306040,3077,"2026-08-01","07:49:09",false,Обнаружено движение
3441306071,3077,"2026-08-01","07:49:11",false,Движения нет
3441306133,3077,"2026-08-01","07:49:20",false,Обнаружено движение
3441306164,3077,"2026-08-01","07:49:22",false,Движения нет
3441306187,3077,"2026-08-01","07:49:24",false,Обнаружено движение
3441306207,3077,"2026-08-01","07:49:27",false,Движения нет
3441306235,3077,"2026-08-01","07:49:29",false,Обнаружено движение
3441306253,3077,"2026-08-01","07:49:31",false,Движения нет
3441306294,3077,"2026-08-01","07:49:37",false,Обнаружено движение
3441306322,3077,"2026-08-01","07:49:40",false,Движения нет
3441306348,3077,"2026-08-01","07:49:44",false,Обнаружено движение
3441306362,3077,"2026-08-01","07:49:47",false,Движения нет
3441306426,3077,"2026-08-01","07:49:55",false,Обнаружено движение
3441306448,3077,"2026-08-01","07:49:58",false,Движения нет
3441306578,3077,"2026-08-01","07:50:12",false,Обнаружено движение
3441306606,3077,"2026-08-01","07:50:15",false,Движения нет
3441306695,3077,"2026-08-01","07:50:27",false,Обнаружено движение
3441306710,3077,"2026-08-01","07:50:29",false,Движения нет
3441306722,3077,"2026-08-01","07:50:30",false,Обнаружено движение
3441306736,3077,"2026-08-01","07:50:32",false,Движения нет
3441306806,3077,"2026-08-01","07:50:40",false,Обнаружено движение
3441306822,3077,"2026-08-01","07:50:42",false,Движения нет
3441306876,3077,"2026-08-01","07:50:52",false,Обнаружено движение
3441306892,3077,"2026-08-01","07:50:55",false,Движения нет
3441306916,3077,"2026-08-01","07:50:58",false,Обнаружено движение
3441306938,3077,"2026-08-01","07:51:01",false,Движения нет
3441307152,3077,"2026-08-01","07:51:25",false,Обнаружено движение
3441307184,3077,"2026-08-01","07:51:29",false,Движения нет
3441307212,3077,"2026-08-01","07:51:33",false,Обнаружено движение
3441307233,3077,"2026-08-01","07:51:36",false,Движения нет
3441307254,3077,"2026-08-01","07:51:39",false,Обнаружено движение
3441307282,3077,"2026-08-01","07:51:42",false,Движения нет
3441307308,3073,"2026-08-01","07:51:46",false,Обнаружено движение
3441307341,3073,"2026-08-01","07:51:51",false,Движения нет
3441307686,3073,"2026-08-01","07:52:45",false,Обнаружено движение
3441307897,3073,"2026-08-01","07:52:51",false,Движения нет
3441307985,3073,"2026-08-01","07:52:54",false,Обнаружено движение
3441308043,3073,"2026-08-01","07:52:58",false,Движения нет
3441308050,3071,"2026-08-01","07:53:00",false,Не замкнут
3441308089,3073,"2026-08-01","07:53:06",false,Обнаружено движение
3441308125,3073,"2026-08-01","07:53:12",false,Движения нет
3441309977,3073,"2026-08-01","07:57:09",false,Обнаружено движение
3441310001,3073,"2026-08-01","07:57:14",false,Движения нет
3441310726,3073,"2026-08-01","07:58:50",false,Обнаружено движение
3441310748,3073,"2026-08-01","07:58:55",false,Движения нет
3441310792,3082,"2026-08-01","07:58:58",false,Обнаружено движение
3441310824,3084,"2026-08-01","07:59:01",false,Обнаружено движение
3441310837,3082,"2026-08-01","07:59:02",false,Движения нет
3441310864,3084,"2026-08-01","07:59:07",false,Движения нет
3441312150,3084,"2026-08-01","08:01:22",false,Обнаружено движение
3441312168,3082,"2026-08-01","08:01:25",false,Обнаружено движение
3441312176,3084,"2026-08-01","08:01:26",false,Движения нет
3441312203,3082,"2026-08-01","08:01:30",false,Движения нет
3441312239,3073,"2026-08-01","08:01:35",false,Обнаружено движение
3441312287,3073,"2026-08-01","08:01:41",false,Движения нет
3441312834,3073,"2026-08-01","08:02:51",false,Обнаружено движение
3441312868,3073,"2026-08-01","08:02:55",false,Движения нет
3441312888,3073,"2026-08-01","08:02:57",false,Обнаружено движение
3441312922,3073,"2026-08-01","08:03:02",false,Движения нет
3441312984,3073,"2026-08-01","08:03:11",false,Обнаружено движение
3441313021,3073,"2026-08-01","08:03:15",false,Движения нет
3441313029,3073,"2026-08-01","08:03:16",false,Обнаружено движение
3441313053,3073,"2026-08-01","08:03:21",false,Движения нет
3441313073,3073,"2026-08-01","08:03:24",false,Обнаружено движение
3441313109,3073,"2026-08-01","08:03:30",false,Движения нет
3441313164,3073,"2026-08-01","08:03:37",false,Обнаружено движение
3441313201,3073,"2026-08-01","08:03:42",false,Движения нет
3441313841,3073,"2026-08-01","08:05:11",false,Обнаружено движение
3441313885,3073,"2026-08-01","08:05:15",false,Движения нет
3441317168,3073,"2026-08-01","08:11:12",false,Обнаружено движение
3441317212,3073,"2026-08-01","08:11:17",false,Движения нет
3441318336,3073,"2026-08-01","08:13:39",false,Обнаружено движение
3441318392,3073,"2026-08-01","08:13:49",false,Движения нет
3441318686,3082,"2026-08-01","08:14:23",false,Обнаружено движение
3441318776,3084,"2026-08-01","08:14:33",false,Обнаружено движение
3441318788,3082,"2026-08-01","08:14:34",false,Движения нет
3441318822,3084,"2026-08-01","08:14:38",false,Движения нет
3441319038,3084,"2026-08-01","08:15:07",false,Обнаружено движение
3441319067,3082,"2026-08-01","08:15:11",false,Обнаружено движение
3441319068,3084,"2026-08-01","08:15:11",false,Движения нет
3441319093,3082,"2026-08-01","08:15:15",false,Движения нет
3441319113,3077,"2026-08-01","08:15:17",false,Обнаружено движение
3441319139,3077,"2026-08-01","08:15:21",false,Движения нет
3441319252,3077,"2026-08-01","08:15:37",false,Обнаружено движение
3441319266,3077,"2026-08-01","08:15:39",false,Движения нет
3441319274,3077,"2026-08-01","08:15:41",false,Обнаружено движение
3441319297,3077,"2026-08-01","08:15:44",false,Движения нет
3441319393,3077,"2026-08-01","08:15:53",false,Обнаружено движение
