"ид_канала_данных","тип_инж_системы","тип_датчика","тег_инженерной_системы","название_датчика","ид_объект"
120360,Температурная подсистема,Датчик температуры,"15-11.1.35.1.",Темп. ПК50,20
120677,Пожарная охрана,Состояние УИР-Р,"15-11.1.170.4095.","УИР-Р ПК94,5",20
120553,Пожарная охрана,Тепловой датчик,"15-11.1.123.1.",ТД кам. ПК48,20
120359,Охранная подсистема,Датчик движения,"15-11.1.35.2.",ОД ПК50,20
120680,Пожарная охрана,Состояние УИР-Р,"15-11.1.173.4095.",УИР-Р ПК90 Гал.ПК4,20
120558,Температурная подсистема,Датчик температуры,"15-11.1.124.255.",Темп. ПК48 ,20
120488,Охранная подсистема,КД АВ,"15-11.1.97.2.",КД АВ ПК90 Гал.ПК4,20
120681,Пожарная охрана,Состояние УИР-Р,"15-11.1.174.4095.",УИР-Р ПК88,20
120556,Охранная подсистема,КД Дверь,"15-11.1.124.2.",КД дв.отс. ПК48,20
120487,Пожарная охрана,Тепловой датчик,"15-11.1.97.1.",ТД ПК90 Гал.ПК1 эт.1,20
120682,Пожарная охрана,Состояние УИР-Р,"15-11.1.175.4095.",УИР-Р в/к ПК87,20
120557,Охранная подсистема,КД Дверь,"15-11.1.124.3.",КД дв.отс. ПК48,20
120679,Пожарная охрана,Состояние УИР-Р,"15-11.1.172.4095.",УИР-Р ПК90 Гал.ПК0,20
120555,Пожарная охрана,Тепловой датчик,"15-11.1.124.1.",ТД ПК48 ,20
120485,Пожарная охрана,Тепловой датчик,"15-11.1.96.1.",ТД ПК90 Гал.ПК0 эт.1,20
120552,Температурная подсистема,Датчик температуры,"15-11.1.122.255.",Темп. в/к ПК49,20
120479,Температурная подсистема,Датчик температуры,"15-11.1.93.255.",Темп. ПК92,20
120356,Температурная подсистема,Датчик температуры,"15-11.1.33.1.",Темп. щит. ПК58 ,20
120684,Пожарная охрана,Состояние УИР-Р,"15-11.1.177.4095.",УИР-Р ПК82,20
120478,Пожарная охрана,Тепловой датчик,"15-11.1.93.1.",ТД ПК92,20
120355,Охранная подсистема,Датчик движения,"15-11.1.33.2.",ОД щит. ПК58,20
120551,Охранная подсистема,КД Дверь,"15-11.1.122.1.",КД дв. в/к ПК49,20
120685,Пожарная охрана,Состояние УИР-Р,"15-11.1.178.4095.",УИР-Р ПК78,20
120503,Пожарная охрана,Тепловой датчик,"15-11.1.104.1.",ТД ПК86,20
210587,Охранная подсистема,Датчик движения,"15-11.1.208.2.",ОД ВШ ПК98,20
210589,Охранная подсистема,Датчик движения,"15-11.1.209.2.",ОД ВШ ПК99,20
120550,Температурная подсистема,Датчик температуры,"15-11.1.121.255.",Темп. в/к ПК49,20
120477,Температурная подсистема,Датчик температуры,"15-11.1.92.255.",Темп. ПК94,20
120686,Пожарная охрана,Состояние УИР-Р,"15-11.1.179.4095.",УИР-Р АВ ПК77,20
120549,Пожарная охрана,Тепловой датчик,"15-11.1.121.1.",ТД в/к ПК49,20
120476,Пожарная охрана,Тепловой датчик,"15-11.1.92.1.",ТД ПК94-93,20
120687,Пожарная охрана,Состояние УИР-Р,"15-11.1.180.4095.",УИР-Р ПК72,20
120614,Температурная подсистема,Датчик температуры,"15-11.1.144.255.",Темп. ПК5,20
120475,Температурная подсистема,Датчик температуры,"15-11.1.91.255.","Темп. ПК94,5",20
120688,Пожарная охрана,Состояние УИР-Р,"15-11.1.181.4095.",УИР-Р ПК69,20
120613,Пожарная охрана,Тепловой датчик,"15-11.1.144.1.",ТД ПК5-4,20
120474,Пожарная охрана,Тепловой датчик,"15-11.1.91.1.","ТД ПК94,5",20
120689,Пожарная охрана,Состояние УИР-Р,"15-11.1.182.4095.",УИР-Р ПК62,20
120548,Температурная подсистема,Датчик температуры,"15-11.1.120.255.",Темп. ПК52,20
120473,Температурная подсистема,Датчик температуры,"15-11.1.90.255.",Темп. ПК97,20
120690,Пожарная охрана,Состояние УИР-Р,"15-11.1.183.4095.",УИР-Р ПК58,20
120546,Пожарная охрана,Тепловой датчик,"15-11.1.120.1.",ТД ПК51-52,20
120472,Пожарная охрана,Тепловой датчик,"15-11.1.90.1.",ТД ПК97-96,20
120691,Пожарная охрана,Состояние УИР-Р,"15-11.1.184.4095.",УИР-Р щит. ПК58,20
120547,Пожарная охрана,Тепловой датчик,"15-11.1.120.2.",ТД ПК52-53,20
120471,Температурная подсистема,Датчик температуры,"15-11.1.89.255.",Темп. ПК99,20
120348,Температурная подсистема,Датчик температуры,"15-11.1.29.1.",Темп. ВШ ПК62,20
120542,Температурная подсистема,Датчик температуры,"15-11.1.118.255.",Темп. ПК55,20
120470,Охранная подсистема,КД Дверь,"15-11.1.89.2.",КД дв.отс. ПК99,20
120347,Охранная подсистема,Датчик движения,"15-11.1.29.2.",ОД ВШ ПК62,20
120692,Пожарная охрана,Состояние УИР-Р,"15-11.1.185.4095.",УИР-Р ПК54,20
120540,Пожарная охрана,Тепловой датчик,"15-11.1.118.1.",ТД ПК55-54,20
120469,Пожарная охрана,Тепловой датчик,"15-11.1.89.1.",ТД ПК98-99,20
120346,Температурная подсистема,Датчик температуры,"15-11.1.28.1.",Темп. АВ ПК63,20
120693,Пожарная охрана,Состояние УИР-Р,"15-11.1.186.4095.",УИР-Р ПК49,20
120541,Пожарная охрана,Тепловой датчик,"15-11.1.118.2.",ТД ПК55-56,20
120414,Температурная подсистема,Датчик температуры,"15-11.1.62.1.",Темп. ВШ ПК0,20
120345,Охранная подсистема,Датчик движения,"15-11.1.28.2.",ОД АВ ПК63,20
120694,Пожарная охрана,Состояние УИР-Р,"15-11.1.187.4095.",УИР-Р ПК47,20
120545,Температурная подсистема,Датчик температуры,"15-11.1.119.255.",Темп. щит. ПК58,20
120413,Охранная подсистема,Датчик движения,"15-11.1.62.2.",ОД ВШ ПК0,20
120695,Пожарная охрана,Состояние УИР-Р,"15-11.1.188.4095.",УИР-Р ПК39,20
120544,Охранная подсистема,КД АВ,"15-11.1.119.1.",КД назем ЭЩ ПК58,20
120696,Пожарная охрана,Состояние УИР-Р,"15-11.1.189.4095.",УИР-Р ПК33,20
120966,Охранная подсистема,КД АВ,"15-11.1.115.3.",КД АВ ПК63,20
120543,Пожарная охрана,Датчик дыма,"15-11.1.119.7.",ДД щит. ПК58,20
120620,Температурная подсистема,Датчик температуры,"15-11.1.147.255.",Темп. ПК0,20
120697,Пожарная охрана,Состояние УИР-Р,"15-11.1.190.4095.",УИР-Р ПК30,20
120619,Пожарная охрана,Тепловой датчик,"15-11.1.147.1.",ТД ПК0,20
120612,Температурная подсистема,Датчик температуры,"15-11.1.143.255.",Темп. ПК6,20
120698,Пожарная охрана,Состояние УИР-Р,"15-11.1.191.4095.",УИР-Р ПК29,20
120468,Температурная подсистема,Датчик температуры,"15-11.1.88.255.",Темп. ПК100,20
120467,Пожарная охрана,Тепловой датчик,"15-11.1.88.1.","ТД ПК100-99,5",20
120609,Пожарная охрана,Тепловой датчик,"15-11.1.143.1.",ТД кам. ПК6,20
120699,Пожарная охрана,Состояние УИР-Р,"15-11.1.192.4095.",УИР-Р ПК26,20
120463,Охранная подсистема,КД Дверь,"15-11.1.86.2.",КД дв.отс. ПК103,20
120610,Пожарная охрана,Тепловой датчик,"15-11.1.143.2.",ТД кам. ПК6,20
120700,Пожарная охрана,Состояние УИР-Р,"15-11.1.193.4095.",УИР-Р ПК23,20
120464,Температурная подсистема,Датчик температуры,"15-11.1.86.255.",Темп. ПК103,20
120539,Температурная подсистема,Датчик температуры,"15-11.1.117.255.",Темп. ПК60,20
120338,Температурная подсистема,Датчик температуры,"15-11.1.24.1.",Темп. ПК76,20
120701,Пожарная охрана,Состояние УИР-Р,"15-11.1.194.4095.",УИР-Р ПК17,20
120462,Пожарная охрана,Тепловой датчик,"15-11.1.86.1.",ТД ПК103-104,20
120537,Пожарная охрана,Тепловой датчик,"15-11.1.117.1.",ТД ПК59-60,20
120291,Охранная подсистема,Датчик движения,"15-11.1.1.2.",ОД АВ ПК105,20
120466,Температурная подсистема,Датчик температуры,"15-11.1.87.255.","Темп. ПК103,5",20
120538,Пожарная охрана,Тепловой датчик,"15-11.1.117.2.",ТД ПК60-61,20
120290,Температурная подсистема,Датчик температуры,"15-11.1.4095.1.",Темп. ПК106,20
120337,Охранная подсистема,Датчик движения,"15-11.1.24.2.",ОД ПК76,20
120702,Пожарная охрана,Состояние УИР-Р,"15-11.1.195.4095.",УИР-Р в/к ПК12,20
120465,Пожарная охрана,Тепловой датчик,"15-11.1.87.1.","ТД ПК102-103,5",20
120535,Температурная подсистема,Датчик температуры,"15-11.1.115.255.",Темп. ПК63,20
120289,Охранная подсистема,Датчик движения,"15-11.1.4095.2.",ОД ПК106,20
120336,Температурная подсистема,Датчик температуры,"15-11.1.23.1.",Темп. АВ ПК77,20
120703,Пожарная охрана,Состояние УИР-Р,"15-11.1.196.4095.",УИР-Р ПК12,20
120460,Охранная подсистема,КД АВ,"15-11.1.85.1.",КД АВ ПК105,20
120534,Охранная подсистема,КД Дверь,"15-11.1.115.2.",КД отс.дв. ПК63,20
120335,Охранная подсистема,Датчик движения,"15-11.1.23.2.",ОД АВ ПК77,20
120704,Пожарная охрана,Состояние УИР-Р,"15-11.1.197.4095.",УИР-Р ПК9,20
120533,Пожарная охрана,Тепловой датчик,"15-11.1.115.1.",ТД кам. ПК63,20
120705,Пожарная охрана,Состояние УИР-Р,"15-11.1.198.4095.",УИР-Р ПК6,20
120459,Температурная подсистема,Датчик температуры,"15-11.1.84.255.",Темп. ПК106,20
120706,Пожарная охрана,Состояние УИР-Р,"15-11.1.199.4095.",УИР-Р ПК3,20
120458,Охранная подсистема,КД Дверь,"15-11.1.84.2.",КД дв. ПК106 ,20
120532,Температурная подсистема,Датчик температуры,"15-11.1.114.255.",Темп. ПК67,20
120457,Пожарная охрана,Тепловой датчик,"15-11.1.84.1.",ТД ПК106,20
120531,Пожарная охрана,Тепловой датчик,"15-11.1.114.2.",ТД ПК66-67,20
120332,Температурная подсистема,Датчик температуры,"15-11.1.21.1.",Темп. ВШ ПК78,20
120683,Пожарная охрана,Состояние УИР-Р,"15-11.1.176.4095.",УИР-Р ПК87,20
120605,Температурная подсистема,Датчик температуры,"15-11.1.141.255.",Темп. ПК11,20
120530,Пожарная охрана,Тепловой датчик,"15-11.1.114.1.",ТД ПК67,20
120396,Температурная подсистема,Датчик температуры,"15-11.1.53.1.",Темп. ПК13,20
120331,Охранная подсистема,Датчик движения,"15-11.1.21.2.",ОД ВШ ПК78,20
120604,Пожарная охрана,Тепловой датчик,"15-11.1.141.1.",ТД ПК11-10,20
120529,Температурная подсистема,Датчик температуры,"15-11.1.113.255.",Темп. ПК71,20
120395,Охранная подсистема,Датчик движения,"15-11.1.53.2.",ОД ПК13,20
120595,Пожарная охрана,Датчик дыма,"15-11.1.138.7.",ДД ВШ ПК12,20
120527,Пожарная охрана,Тепловой датчик,"15-11.1.113.1.",ТД ПК71,20
120398,Температурная подсистема,Датчик температуры,"15-11.1.54.1.",Темп. ВШ ПК13,20
120599,Температурная подсистема,Датчик температуры,"15-11.1.138.255.",Темп. ПК12,20
120528,Пожарная охрана,Тепловой датчик,"15-11.1.113.2.",ТД ПК70-71,20
120397,Охранная подсистема,Датчик движения,"15-11.1.54.2.",ОД ВШ ПК13,20
120597,Охранная подсистема,КД Дверь,"15-11.1.138.2.",КД дв. в/к ПК12,20
120526,Температурная подсистема,Датчик температуры,"15-11.1.112.255.",Темп. ПК74,20
120598,Охранная подсистема,КД Дверь,"15-11.1.138.3.",КД дв.отс. ПК12,20
120525,Пожарная охрана,Тепловой датчик,"15-11.1.112.2.",ТД ПК74-73,20
120596,Пожарная охрана,Тепловой датчик,"15-11.1.138.1.",ТД кам. ПК12,20
120524,Пожарная охрана,Тепловой датчик,"15-11.1.112.1.",ТД ПК74,20
120600,Пожарная охрана,Тепловой датчик,"15-11.1.139.1.",ТД в/к ПК12,20
120520,Температурная подсистема,Датчик температуры,"15-11.1.110.255.","ТЕМП АВ ПК76,5",20
120326,Температурная подсистема,Датчик температуры,"15-11.1.18.1.","Темп. люк ПК82,5",20
120519,Охранная подсистема,КД АВ,"15-11.1.110.1.",КД АВ ПК77,20
120325,Охранная подсистема,Датчик движения,"15-11.1.18.2.","ОД люк ПК82,5",20
120602,Охранная подсистема,КД АВ,"15-11.1.140.1.",КД АВ ПК11,20
120523,Температурная подсистема,Датчик температуры,"15-11.1.111.255.",Темп. ПК77,20
120594,Температурная подсистема,Датчик температуры,"15-11.1.137.255.",Темп. ПК14,20
120522,Охранная подсистема,КД Дверь,"15-11.1.111.2.",КД дв.отс. ПК77,20
120593,Пожарная охрана,Тепловой датчик,"15-11.1.137.2.",ТД ПК14-13,20
120521,Пожарная охрана,Тепловой датчик,"15-11.1.111.1.",ТД ПК77-76,20
120592,Пожарная охрана,Тепловой датчик,"15-11.1.137.1.",ТД ПК14-15,20
120518,Температурная подсистема,Датчик температуры,"15-11.1.109.255.",Темп. ВШ ПК78,20
120591,Температурная подсистема,Датчик температуры,"15-11.1.136.255.",Темп. ПК19,20
120517,Охранная подсистема,КД Дверь,"15-11.1.109.2.",КД дв.отс. ПК78,20
120386,Температурная подсистема,Датчик температуры,"15-11.1.48.1.","Темп. ПК28,5",20
120318,Температурная подсистема,Датчик температуры,"15-11.1.14.1.","Темп. ВШ ПК86,5",20
120590,Пожарная охрана,Тепловой датчик,"15-11.1.136.2.",ТД ПК19-18,20
120516,Пожарная охрана,Тепловой датчик,"15-11.1.109.1.",ТД ВШ ПК78,20
120385,Охранная подсистема,Датчик движения,"15-11.1.48.2.","ОД ПК28,5",20
120317,Охранная подсистема,Датчик движения,"15-11.1.14.2.","ОД ВШ ПК86,5",20
120589,Пожарная охрана,Тепловой датчик,"15-11.1.136.1.",ТД ПК19-20,20
120515,Температурная подсистема,Датчик температуры,"15-11.1.108.255.",Темп. ПК79,20
120618,Температурная подсистема,Датчик температуры,"15-11.1.146.255.",Темп. ПК2,20
120514,Пожарная охрана,Тепловой датчик,"15-11.1.108.1.",ТД ПК79,20
120383,Охранная подсистема,Датчик движения,"15-11.1.47.2.","ОД АВ ПК28,5",20
120315,Охранная подсистема,Датчик движения,"15-11.1.13.2.",ОД АВ ПК87,20
120617,Пожарная охрана,Тепловой датчик,"15-11.1.146.1.",ТД кам. ПК2,20
120512,Пожарная охрана,Датчик дыма,"15-11.1.107.7.",ДД ВШ ПК79,20
120588,Температурная подсистема,Датчик температуры,"15-11.1.135.255.",Темп. ПК20,20
120513,Температурная подсистема,Датчик температуры,"15-11.1.107.255.",Темп. ПК79,20
120381,Охранная подсистема,Датчик движения,"15-11.1.46.2.",ОД ПК29,20
120587,Пожарная охрана,Тепловой датчик,"15-11.1.135.1.",ТД ПК20-19,20
120511,Температурная подсистема,Датчик температуры,"15-11.1.106.255.",Темп. ПК82,20
120586,Температурная подсистема,Датчик температуры,"15-11.1.134.255.",Темп. ПК20,20
120509,Пожарная охрана,Тепловой датчик,"15-11.1.106.1.",ТД ПК81-82,20
120300,Температурная подсистема,Датчик температуры,"15-11.1.5.1.",Темп. ВШ ПК88,20
120585,Пожарная охрана,Тепловой датчик,"15-11.1.134.1.",ТД ПК23-22,20
120510,Пожарная охрана,Тепловой датчик,"15-11.1.106.2.",ТД ПК82-83,20
120576,Температурная подсистема,Датчик температуры,"15-11.1.130.255.",Темп. ПК29,20
120508,Температурная подсистема,Датчик температуры,"15-11.1.105.255.",Темп. ПК83,20
120380,Температурная подсистема,Датчик температуры,"15-11.1.45.1.",Темп. ВШ ПК30,20
120573,Пожарная охрана,Датчик дыма,"15-11.1.130.7.",ДД ВШ ПК29,20
120507,Охранная подсистема,КД Люк,"15-11.1.105.2.",КД люк ПК83,20
120379,Охранная подсистема,Датчик движения,"15-11.1.45.2.",ОД ВШ ПК30,20
120575,Охранная подсистема,КД Дверь,"15-11.1.130.2.",КД дв.отс. ПК29,20
120506,Пожарная охрана,Тепловой датчик,"15-11.1.105.1.",ТД кам. ПК83,20
120574,Пожарная охрана,Тепловой датчик,"15-11.1.130.1.",ТД ПК29-30,20
120505,Температурная подсистема,Датчик температуры,"15-11.1.104.255.",Темп. ПК86,20
120299,Охранная подсистема,Датчик движения,"15-11.1.5.2.",ОД ВШ ПК88,20
155051,Охранная подсистема,КД АВ,"15-11.1.124.4.",КД АВ ПК47,20
120399,Охранная подсистема,Датчик движения,"15-11.1.55.2.","ОД ПК11,8",20
216265,Охранная подсистема,КД Дверь,"15-11.1.102.2.",КД дв. ВК ПК87,20
226811,Охранная подсистема,Датчик движения,"15-11.1.214.2.",ОД ПК44,20
226813,Охранная подсистема,Датчик движения,"15-11.1.215.2.",ОД ПК36,20
226815,Охранная подсистема,Датчик движения,"15-11.1.216.2.",ОД ПК20,20
226809,Охранная подсистема,Датчик движения,"15-11.1.213.2.",ОД ПК61,20
2943,Температурная подсистема,Датчик температуры,"16-1.1.39.1.",Темп. ПК366,28
2942,Охранная подсистема,Датчик движения,"16-1.1.39.2.",ОД ПК366,28
3117,Пожарная охрана,Состояние УИР-Р,"16-1.1.129.1.",УИР-Р ПК321,28
3116,Пожарная охрана,Состояние УИР-Р,"16-1.1.128.1.",УИР-Р ПК350,28
2946,Охранная подсистема,Датчик движения,"16-1.1.41.2.",ОД ВШ ПК339,28
2961,Температурная подсистема,Датчик температуры,"16-1.1.48.1.",Темп. ПК296,28
2960,Охранная подсистема,Датчик движения,"16-1.1.48.2.",ОД ПК296,28
2962,Охранная подсистема,Датчик движения,"16-1.1.49.2.",ОД ПК282,28
3051,Охранная подсистема,КД АВ,"16-1.1.89.1.",КД АВ ПК296 ,28
3120,Пожарная охрана,Состояние УИР-Р,"16-1.1.132.1.",УИР-Р ПК296,28
3057,Охранная подсистема,КД Дверь,"16-1.1.93.3.",КД отс.дверь ПК254,28
2902,Охранная подсистема,Датчик движения,"16-1.1.19.2.",ОД ПК389,28
2907,Температурная подсистема,Датчик температуры,"16-1.1.21.1.",Темп. ПК377 cопряж. с Ломонос.,28
3012,Охранная подсистема,КД Дверь,"16-1.1.74.2.",КД дверь к-р Ломонос. ПК377,28
2906,Охранная подсистема,Датчик движения,"16-1.1.21.2.",ОД ПК377 cопряж. с Ломонос.,28
2945,Температурная подсистема,Датчик температуры,"16-1.1.40.1.",Темп. ПК349,28
2964,Охранная подсистема,Датчик движения,"16-1.1.50.2.",ОД ПК274,28
2947,Температурная подсистема,Датчик температуры,"16-1.1.41.1.",Темп. ПК339,28
3048,Охранная подсистема,КД Дверь,"16-1.1.88.1.",КД дверь АНС ПК300,28
2944,Охранная подсистема,Датчик движения,"16-1.1.40.2.",ОД АВ ПК349,28
3039,Охранная подсистема,КД АВ,"16-1.1.83.1.",КД АВ ПК349,28
3045,Охранная подсистема,КД Дверь,"16-1.1.86.2.",КД дверь2 ВК ПК312,28
3041,Охранная подсистема,КД Дверь,"16-1.1.85.1.",КД дверь щитовая ПК321,28
2892,Охранная подсистема,Датчик движения,"16-1.1.14.2.",ОД ПК414,28
3109,Пожарная охрана,Состояние УИР-Р,"16-1.1.121.1.",УИР-Р ПК451,28
2869,Температурная подсистема,Датчик температуры,"16-1.1.2.1.",Темп. ПК498,28
2875,Температурная подсистема,Датчик температуры,"16-1.1.5.1.",Темп. ПК483,28
3108,Пожарная охрана,Состояние УИР-Р,"16-1.1.120.1.",УИР-Р ПК484,28
2995,Охранная подсистема,КД АВ,"16-1.1.65.2.",КД дверь к-р Крупский ПК484,28
2871,Температурная подсистема,Датчик температуры,"16-1.1.3.1.",Темп. ПК484,28
2999,Охранная подсистема,КД Дверь,"16-1.1.67.3.",КД дверь ВК ПК457,28
2996,Охранная подсистема,КД Люк,"16-1.1.66.1.",КД люк ПК469,28
2877,Температурная подсистема,Датчик температуры,"16-1.1.6.1.",Темп. ПК469,28
2997,Охранная подсистема,КД Дверь,"16-1.1.67.1.",КД отс.дверь ПК457,28
2880,Охранная подсистема,Датчик движения,"16-1.1.8.2.",ОД АВ ПК451,28
2881,Температурная подсистема,Датчик температуры,"16-1.1.8.1.",Темп. ПК451,28
2899,Температурная подсистема,Датчик температуры,"16-1.1.17.1.",Темп. ПК399 Г0ПК5,28
166955,Охранная подсистема,Датчик движения,"16-1.1.156.2.",ОД решетка ТС. ПК217,28
3006,Охранная подсистема,КД Дверь,"16-1.1.71.1.",КД отс.дверь ПК410,28
2884,Охранная подсистема,Датчик движения,"16-1.1.10.2.",ОД ПК451 Гал ПК12,28
3110,Пожарная охрана,Состояние УИР-Р,"16-1.1.122.1.",УИР-Р ПК451 гал ПК12,28
3003,Охранная подсистема,КД АВ,"16-1.1.69.2.",КД АВ ПК451 гал ПК12,28
3112,Пожарная охрана,Состояние УИР-Р,"16-1.1.124.1.",УИР-Р ПК410,28
3007,Охранная подсистема,КД Дверь,"16-1.1.71.2.",КД дверь ВК ПК410,28
3053,Охранная подсистема,КД АВ,"16-1.1.91.1.",КД АВ ПК274,28
2957,Температурная подсистема,Датчик температуры,"16-1.1.46.1.",Темп. ПК300,28
9366,Температурная подсистема,Датчик температуры,"16-1.1.98.255.",Темп. ПК169,28
9363,Температурная подсистема,Датчик температуры,"16-1.1.95.255.",Темп. ПК192,28
9365,Температурная подсистема,Датчик температуры,"16-1.1.97.255.",Темп. ПК177,28
9361,Температурная подсистема,Датчик температуры,"16-1.1.93.255.",Темп. ПК254,28
9359,Температурная подсистема,Датчик температуры,"16-1.1.91.255.",Темп. ПК274,28
9357,Температурная подсистема,Датчик температуры,"16-1.1.89.255.",Темп. ПК296,28
9351,Температурная подсистема,Датчик температуры,"16-1.1.83.255.",Темп. ПК349,28
9340,Температурная подсистема,Датчик температуры,"16-1.1.72.255.",Темп. ПК399,28
9336,Температурная подсистема,Датчик температуры,"16-1.1.68.255.",Темп. ПК451,28
9337,Температурная подсистема,Датчик температуры,"16-1.1.69.255.",Темп. ПК451 гал ПК12,28
9335,Температурная подсистема,Датчик температуры,"16-1.1.67.255.",Темп. ПК457,28
9333,Температурная подсистема,Датчик температуры,"16-1.1.65.255.",Темп. ПК484,28
9334,Температурная подсистема,Датчик температуры,"16-1.1.66.255.",Темп. ПК469,28
9338,Температурная подсистема,Датчик температуры,"16-1.1.70.255.",Темп. ПК424,28
